ticker,sector,year,revenue_m,rev_growth_pct,gross_profit_m,gross_margin_pct,operating_income_m,net_income_m,eps_diluted,operating_cf_m,free_cash_flow_m,capex_m,total_debt_m,stockholders_equity_m,debt_equity,roe_pct,market_cap_m,pe_ratio,dividend_yield_pct
ADSK,Information Technology,2011,,,1521.9,,65.6,58.0,0.25,246.8,246.8,,,1609.3,,0.036,0.01,121.3,
ADSK,Information Technology,2012,,,1755.2,,271.4,212.0,0.9,540.8,540.8,,0.0,1882.9,,0.1126,7985.56,39.3,
ADSK,Information Technology,2013,,,1986.5,,355.6,285.3,1.22,573.5,573.5,,745.6,1609.3,0.463,0.1773,11251.55,41.2,
ADSK,Information Technology,2014,,,,,,,,,,,,,,,,,
ADSK,Information Technology,2015,,,2073.7,,305.9,247.4,1.07,559.1,559.1,,746.4,1882.9,0.396,0.1314,13812.83,56.9,
ADSK,Information Technology,2016,,,1999.6,,284.8,228.8,1.0,563.5,563.5,,743.1,2043.2,0.364,0.112,16800.27,74.0,
ADSK,Information Technology,2017,,,2170.1,,120.7,81.8,0.35,708.6,708.6,,1487.7,2261.5,0.658,0.0362,23523.85,299.5,
ADSK,Information Technology,2018,,,2133.4,,1.3,-330.5,-1.46,414.0,414.0,,1490.7,2219.2,0.672,-0.1489,28332.78,-88.1,
ADSK,Information Technology,2019,2031.0,,1689.1,0.8317,-499.6,-582.1,-2.61,169.7,169.7,,1586.0,1619.6,0.979,-0.3594,40049.32,-70.3,
ADSK,Information Technology,2020,2056.6,0.0126,1753.2,0.8525,-509.1,-566.9,-2.58,0.9,0.9,,2100.0,733.6,2.863,-0.7728,66991.6,-118.3,
ADSK,Information Technology,2021,2569.8,0.2495,2283.9,0.8887,-25.0,-80.8,-0.37,377.1,310.1,67.0,2099.7,-256.0,-8.202,0.3156,61693.09,-760.0,
ADSK,Information Technology,2022,3274.3,0.2741,2949.4,0.9008,343.0,214.5,0.96,1415.1,1361.9,53.2,2650.0,-210.9,-12.565,-1.0171,41036.65,194.7,
ADSK,Information Technology,2023,3790.0,0.1575,3453.0,0.9111,629.0,1208.0,5.44,1437.0,1346.0,91.0,2650.0,-139.0,-19.065,-8.6906,53078.64,44.8,
ADSK,Information Technology,2024,4386.0,0.1573,3968.0,0.9047,618.0,497.0,2.24,1531.0,1475.0,56.0,2300.0,965.0,2.383,0.515,63547.55,132.0,
ADSK,Information Technology,2025,5005.0,0.1411,4525.0,0.9041,989.0,823.0,3.78,2071.0,2031.0,40.0,2300.0,849.0,2.709,0.9694,63346.14,78.3,
ADSK,Information Technology,2026,7206.0,,6556.0,90.9797,1578.0,1124.0,5.23,2452.0,2409.0,43.0,2500.0,3045.0,0.821,36.913,,,
AEE,Other,2011,7135.0,,,,1416.0,612.0,,1967.0,257.0,1710.0,7135.0,7730.0,0.923,0.0791999999999999,4304.24,,0.9204
AEE,Other,2012,7638.0,0.0705,,,916.0,139.0,,1823.0,781.0,1042.0,7140.0,7919.0,0.902,0.0176,4688.35,,0.9722
AEE,Other,2013,6148.0,-0.1951,,,1033.0,519.0,2.15,1878.0,997.0,881.0,6416.0,6616.0,0.97,0.0784,5869.43,11.4,0.7864
AEE,Other,2014,5781.0,-0.0597,,,1188.0,-974.0,-4.01,1690.0,627.0,1063.0,6619.0,6544.0,1.011,-0.1488,7874.94,-8.1,0.5952000000000001
AEE,Other,2015,5838.0,0.0098999999999999,,,1184.0,289.0,1.18,1693.0,314.0,1379.0,8045.0,6713.0,1.198,0.0431,7688.82,26.9,0.6265999999999999
AEE,Other,2016,6053.0,0.0368,,,1254.0,586.0,2.4,1565.0,-220.0,1785.0,7627.0,6946.0,1.098,0.0843999999999999,9672.49,16.6,0.5162
AEE,Other,2017,6098.0,0.0074,,,1259.0,630.0,2.59,2031.0,114.0,1917.0,8553.0,7103.0,1.204,0.0886999999999999,11231.96,17.9,0.4608
AEE,Other,2018,6076.0,-0.0036,,,1322.0,,2.68,2117.0,41.0,2076.0,8993.0,7184.0,1.252,,12809.82,19.7,0.4202
AEE,Other,2019,,,,,1410.0,,2.14,2118.0,-14.0,2132.0,10039.0,7631.0,1.316,,15477.99,29.8,0.3611
AEE,Other,2020,,,,,1357.0,,3.32,2170.0,-116.0,2286.0,11630.0,8059.0,1.443,,16137.13,20.0,0.3608
AEE,Other,2021,5910.0,,,,1267.0,,3.35,2170.0,-241.0,2411.0,13672.0,8938.0,1.53,,19047.04,23.3,0.3389
AEE,Other,2022,5794.0,-0.0196,,,1300.0,,3.5,1727.0,-1506.0,3233.0,14692.0,9700.0,1.515,,19659.89,22.8,0.3547
AEE,Other,2023,6394.0,0.1036,,,1333.0,,3.84,1661.0,-1818.0,3479.0,17177.0,10508.0,1.635,,16955.25,17.4,0.4518
AEE,Other,2024,7957.0,0.2444,,,1515.0,,4.14,2263.0,-1088.0,3351.0,18335.0,11349.0,1.616,,22003.47,20.6,0.3767
AEE,Other,2025,8799.0,,,,2026.0,1456.0,5.35,3353.0,-775.0,4128.0,19431.0,13401.0,1.45,10.8649,,,
AEE,Other,2026,,,,,,,,,,,,,,,,,0.0833
AEP,Utilities,2011,,,,,,,,,,,,,,,,,0.9154
AEP,Utilities,2012,14427.0,,,,2663.0,1214.0,2.53,2662.0,2507.0,155.0,18166.0,14664.0,1.239,0.0828,12579.76,10.4,0.8597
AEP,Utilities,2013,15116.0,0.0478,,,2782.0,1946.0,4.02,3788.0,3769.0,19.0,18738.0,15237.0,1.23,0.1277,14447.24,7.5,0.7809999999999999
AEP,Utilities,2014,14945.0,-0.0113,,,2656.0,,2.6,3804.0,3710.0,94.0,19134.0,16085.0,1.19,,19612.32,15.6,0.602
